raw_genre,canonical_genre,layer,note
beats,,junk,
jazz fusion,Jazz,rule,
rock argentino,Latin,exact,
electronica,Electronic / Dance,rule,
cello,Classical,exact,
scottish,Folk / Acoustic,exact,
worship,Christian / Gospel,rule,
folk metal,Metal,rule,
cantautor,Folk / Acoustic,exact,
sad,,junk,
dark cabaret,,junk,
ska punk,Punk / Hardcore,rule,
hiphop,Hip-Hop / Rap,rule,
under 2000 listeners,,junk,
surf rock,Rock,rule,
groove metal,Metal,rule,
philippines,SEA Pop,exact,owner-approved: separate SEA Pop bucket
czech,,junk,
fusion,Jazz,exact,bare 'fusion' assumed jazz fusion
grime,Hip-Hop / Rap,rule,
persian,World,rule,
twee,Indie / Alternative,rule,
harp,Classical,exact,
singer-songwriter,Folk / Acoustic,rule,
new zealand,,junk,
neofolk,Folk / Acoustic,rule,
trailer music,Soundtrack / Musical,rule,
west coast,,junk,
lullaby,Ambient / Instrumental,rule,
futurepop,Electronic / Dance,exact,
romantic,,junk,
screamo,Punk / Hardcore,rule,
slowcore,Indie / Alternative,rule,
cajun,Folk / Acoustic,rule,
quebecois,,junk,
r-n-b,R&B / Soul,rule,
filipino,SEA Pop,exact,owner-approved: separate SEA Pop bucket
easy listening,Ambient / Instrumental,rule,
liedermacher,Folk / Acoustic,exact,
die flippers,,junk,
harmolodic,Jazz,exact,
merengue,Latin,rule,
future bass,Electronic / Dance,rule,
us,,junk,
danish,,junk,
bossa nova,Latin,rule,Latin (Brazilian family) vs Jazz
cumbia,Latin,rule,
basque,World,exact,
folk punk,Punk / Hardcore,rule,
jewish,World,exact,
eurodance,Electronic / Dance,rule,
atmospheric black metal,Metal,rule,
musical theatre,Soundtrack / Musical,rule,
slow,,junk,
space rock,Rock,rule,
garage punk,Punk / Hardcore,rule,
melodic trance,Electronic / Dance,rule,
organ,Classical,exact,
symphonic black metal,Metal,rule,
acid jazz,Jazz,rule,
roger whittaker,,junk,
britpop,Rock,rule,
post-metal,Metal,rule,
progressive house,Electronic / Dance,rule,
dutch,,junk,
uk,,junk,
orchestral,Classical,rule,
acoustic guitar,Folk / Acoustic,rule,
native american,World,rule,
trumpet,Jazz,exact,
neo-soul,R&B / Soul,rule,
latino,Latin,rule,
italo disco,Electronic / Dance,rule,
christian rap,Christian / Gospel,exact,Christian bucket wins over Hip-Hop
brass,Jazz,exact,
nerdcore,Hip-Hop / Rap,exact,
melodic hardcore,Punk / Hardcore,rule,
progressive death metal,Metal,rule,
kummitusmusiikkia,,junk,
epic,,junk,
mathcore,Metal,exact,
colombia,Latin,exact,
glitch,Electronic / Dance,rule,
chillwave,Ambient / Instrumental,rule,
indie folk,Indie / Alternative,rule,
kgrl,,junk,
psychill,Ambient / Instrumental,rule,
underground rap,Hip-Hop / Rap,rule,
doo wop,R&B / Soul,rule,
industrial rock,Rock,rule,
dub techno,Electronic / Dance,rule,
violin,Classical,exact,
detroit,,junk,
united kingdom,,junk,
bluesrock,Rock,rule,
english,,junk,
icelandic,,junk,
speed metal,Metal,rule,
minimal techno,Electronic / Dance,rule,
austropop,Pop,rule,
rock and roll,Rock,rule,
cover,,junk,
germany,,junk,
bachata,Latin,rule,
minnesota,,junk,
new orleans,Jazz,exact,place tag -> Jazz (trad jazz scene)
turntablism,Hip-Hop / Rap,rule,
bass,Electronic / Dance,exact,
piano rock,Rock,rule,
no wave,,junk,
based,,junk,
hawaiian,World,rule,
cdbaby,,junk,
everything,,junk,
france,,junk,
gypsy jazz,Jazz,rule,
ragtime,Jazz,rule,
taiwan,C-Pop / Mandopop,exact,place tag -> C-Pop (Mandopop scene)
anarchism,,junk,
krautrock,Rock,rule,
mellow,,junk,
australia,,junk,
chicago,,junk,
spain,Latin,exact,place tag -> Latin
rhythmic noise,,unmapped,
gothic,Rock,exact,
songwriter,Folk / Acoustic,exact,
crust,Punk / Hardcore,rule,
steampunk,,junk,
conductor,Classical,exact,
uplifting,,junk,
melodic black metal,Metal,rule,
deutsch,,junk,
tkkg,,junk,
vocal,,junk,
greek,World,exact,nationality tag -> World (rebetiko etc.) - or junk?
cowhat fav,,junk,
flute,Classical,exact,
latin jazz,Jazz,rule,
lds,Christian / Gospel,rule,
norwegian,,junk,
tech house,Electronic / Dance,rule,
west coast rap,Hip-Hop / Rap,rule,
digital hardcore,Electronic / Dance,exact,
nigeria,World,exact,
memphis,,junk,
new york,,junk,
singer/songwriter,Folk / Acoustic,rule,
mantra,Ambient / Instrumental,exact,
houston,,junk,
melodic rock,Rock,rule,
brazilian,Latin,rule,
deutschrap,Hip-Hop / Rap,exact,
jam,,junk,
juan gabriel,,junk,
miami bass,Hip-Hop / Rap,exact,
arabic,World,rule,
neoclassical,Classical,rule,
synth,Electronic / Dance,exact,
japan,J-Pop / Anime,exact,place tag -> J-Pop
drill,Hip-Hop / Rap,rule,
gammarec,,junk,
polish,,junk,
chillhop,Ambient / Instrumental,rule,
goregrind,Metal,rule,
nwobhm,Metal,exact,
street punk,Punk / Hardcore,rule,
vaporwave,Electronic / Dance,rule,
banjo,Country,exact,
female voices,,junk,
rock en espanol,Latin,exact,
marches,Classical,exact,
boston,,junk,
traditional,,junk,
accordion,World,exact,
freestyle,Electronic / Dance,exact,
witch house,Electronic / Dance,rule,
world music,World,rule,
glam metal,Metal,rule,
country -altrernative,Country,rule,
texas,,junk,
berlin,,junk,
post-grunge,Rock,rule,
spiritual,Christian / Gospel,exact,
halftime,Electronic / Dance,rule,
fiddle,Country,exact,
political,,junk,
juma,,junk,
big band,Jazz,rule,
dixieland,Jazz,rule,
fnaf,,junk,
progressive trance,Electronic / Dance,rule,
jam band,Rock,exact,
lute,Classical,exact,
powerpop,Pop,rule,
brasil,Latin,rule,
cuban,Latin,exact,
harpsichord,Classical,exact,
anarcho-punk,Punk / Hardcore,rule,
ndw,Pop,exact,
bass house,Electronic / Dance,rule,
outsider,,junk,
electroclash,Electronic / Dance,rule,
celtic rock,Rock,rule,
kabarett,,junk,
less than 30000,,junk,
neurofunk,Electronic / Dance,rule,
pagan,,junk,
celtic punk,Punk / Hardcore,rule,
peter maffay,,junk,
goa,Electronic / Dance,rule,
riot grrrl,Punk / Hardcore,rule,
throat singing,World,rule,
power electronics,Electronic / Dance,rule,
drums,,junk,
israeli,World,exact,
taylor swift,Pop,exact,"artist-name tag -> Pop (harmless, 190 rows)"
mali,World,exact,
netherlands,,junk,
indietronica,Indie / Alternative,rule,
progressive psytrance,Electronic / Dance,rule,
sacred,Christian / Gospel,rule,
brostep,Electronic / Dance,rule,
acapella,,junk,
powerviolence,Punk / Hardcore,rule,
uk garage,Electronic / Dance,rule,
gamelan,World,rule,
jazz hop,Jazz,rule,
san francisco,,junk,
alt country,Country,rule,
calypso,,unmapped,
north carolina,,junk,
volksmusik,Folk / Acoustic,exact,German folk -> Folk/Acoustic
balkan,World,rule,
filk,,junk,
funny,,junk,
outlaw country,Country,rule,
british isles,,junk,
olaf berger,,junk,
drumstep,Electronic / Dance,rule,
venezuela,Latin,exact,
juke,Electronic / Dance,rule,
chap hop,,unmapped,
choro,,unmapped,
future garage,,unmapped,
seattle,,unmapped,
cuba,,unmapped,
musicals,Soundtrack / Musical,rule,
contemporary jazz,Jazz,rule,
gothic country,Country,rule,
jungle,Electronic / Dance,rule,
percussion,,unmapped,
world fusion,World,rule,
chicano rap,Hip-Hop / Rap,rule,
deathrock,Rock,rule,
england,,unmapped,
hyperpop,Pop,rule,
parody,,unmapped,
austria,,unmapped,
guatemala,,unmapped,
martial industrial,,unmapped,
trombone,,unmapped,
visual kei,,unmapped,
beach music,,unmapped,
california,,unmapped,
didgeridoo,,unmapped,
korean,K-Pop,exact,nationality tag -> K-Pop
southern rap,Hip-Hop / Rap,rule,
stoner metal,Metal,rule,
mandolin,,unmapped,
tenor,,unmapped,
goa trance,Electronic / Dance,rule,
cowhat hero,,unmapped,
denmark,,unmapped,
djent,Metal,rule,
alpenrock,Rock,rule,
classical crossover,Classical,rule,
portland,,unmapped,
psydub,,unmapped,
exotica,,unmapped,
portuguese,,unmapped,
christian hip-hop,Hip-Hop / Rap,rule,
haiti,,unmapped,
glam,,unmapped,
italy,,unmapped,
japanese city pop,Pop,rule,
progressive,,unmapped,
singer-songwriters,Folk / Acoustic,rule,
texas country,Country,rule,
humour,,unmapped,
post-black metal,Metal,rule,
queercore,,unmapped,
armenian,,unmapped,
indonesia,SEA Pop,exact,
alternative country,Country,rule,
austin,,unmapped,
romantico,,unmapped,
skacore,,unmapped,
andrea berg,,unmapped,
nerd rock,Rock,rule,
persian traditional,World,rule,
all-time favourites,,unmapped,
asian music,,unmapped,
catalan music,,unmapped,
elephant 6,,unmapped,
chile,,unmapped,
austrian,,unmapped,
eurovision,,unmapped,
minimal synth,,unmapped,
tejano,Latin,rule,
afrobeats,World,rule,
classic,,unmapped,
kansas city,,unmapped,
tribal,,unmapped,
chant,,unmapped,
childrens,,unmapped,
nederlandstalig,,unmapped,
peter alexander,,unmapped,
proto-punk,Punk / Hardcore,rule,
eurobeat,,unmapped,
jazz rock,Rock,rule,
stand-up,,unmapped,
ukrainian,,unmapped,
ireland,,unmapped,
bryan adams,,unmapped,
funky,R&B / Soul,rule,
showtunes,Soundtrack / Musical,rule,
instrumental rock,Rock,rule,
sleaze rock,Rock,rule,
touhou,,unmapped,
fleetwood mac,,unmapped,
hong kong,C-Pop / Mandopop,exact,
psychedelic folk,Rock,rule,
studio musicians,,unmapped,
corridos,Latin,rule,
blackened death metal,Metal,rule,
sunshine pop,Pop,rule,
sweden,,unmapped,
vocaloid,J-Pop / Anime,exact,
banda,,unmapped,
mod,,unmapped,
wahe guru,,unmapped,
electronic pop,Electronic / Dance,rule,
harmonica blues,Blues,rule,
detroit techno,Electronic / Dance,rule,
gypsy,World,rule,
acid,,unmapped,
honduras,,unmapped,
peter tanico,,unmapped,
quirky,,unmapped,
american idol,,unmapped,
detroit rap,Hip-Hop / Rap,rule,
classical period,Classical,rule,
avant-garde metal,Metal,rule,
c-pop,C-Pop / Mandopop,exact,
congo,,unmapped,
slide guitar,,unmapped,
mambo,,unmapped,
orchestra,Classical,rule,
ukulele,,unmapped,
welsh,,unmapped,
avant-garde jazz,Jazz,rule,
norway,,unmapped,
trap metal,Metal,rule,
estonian,,unmapped,
wisconsin,,unmapped,
doctor who,,unmapped,
puerto rico,,unmapped,
clarinet,,unmapped,
geschwister hofmann,,unmapped,
hybrid trap,Hip-Hop / Rap,rule,
spacesynth,,unmapped,
e-40,,unmapped,
hyphy,,unmapped,
alt rock,Indie / Alternative,exact,
earwaves,,unmapped,
ethnic,,unmapped,
mexican,Latin,rule,
catholic,,unmapped,
francophone,,unmapped,
freak folk,Folk / Acoustic,rule,
shamanism,,unmapped,
underground hip hop,Hip-Hop / Rap,rule,
louisiana,,unmapped,
switzerland,,unmapped,
memphis rap,Hip-Hop / Rap,rule,
rap metal,Metal,rule,
vietnamese,SEA Pop,exact,
india,,unmapped,
breaks,,unmapped,
chicago blues,Blues,rule,
galiza,,unmapped,
melodic,,unmapped,
michigan,,unmapped,
chillstep,Ambient / Instrumental,rule,
psychedelic trance,Rock,rule,
supastition,,unmapped,
gabber,Electronic / Dance,rule,
nu jazz,Jazz,rule,
pinoy,SEA Pop,exact,
virally female,,unmapped,
abstract hip-hop,Hip-Hop / Rap,rule,
progressive metalcore,Metal,rule,
ye-ye,,unmapped,
depressive black metal,Metal,rule,
experimental rock,Rock,rule,
minneapolis,,unmapped,
roots reggae,Reggae,rule,
soprano,,unmapped,
a capella,,unmapped,
hands up,,unmapped,
jangle pop,Indie / Alternative,rule,
military band,,unmapped,
rhodesian,,unmapped,
bagpipes,,unmapped,
child music,,unmapped,
cristiano,,unmapped,
drjazzmrfunkmusic,Jazz,rule,
jazz guitar,Jazz,rule,
microtonal,,unmapped,
trova,,unmapped,
axe,,unmapped,
chanson,Folk / Acoustic,exact,
funeral doom metal,Metal,rule,
pdx,,unmapped,
poetry,,unmapped,
polka,World,rule,
greece,,unmapped,
youtube,,unmapped,
art pop,Pop,rule,
choir,Classical,rule,
croatian,,unmapped,
crunk,Hip-Hop / Rap,rule,
dj,,unmapped,
rhythm and blues,Blues,rule,
kristina bach,,unmapped,
ballads,,unmapped,
ddr,,unmapped,
great,,unmapped,
nsbm,,unmapped,
underground,,unmapped,
andes,,unmapped,
futurism,,unmapped,
god tier,,unmapped,
hard trance,Electronic / Dance,rule,
harmonica,,unmapped,
home collection,,unmapped,
rock opera,Rock,rule,
virginia,,unmapped,
death country,Country,rule,
peru,,unmapped,
score,,unmapped,
turkish rock,Rock,rule,
rock chileno,Rock,rule,
tim warweg,,unmapped,
under 1000 listeners,,unmapped,
delta blues,Blues,rule,
emo rap,Hip-Hop / Rap,rule,
iowa,,unmapped,
latvian,,unmapped,
russian rap,Hip-Hop / Rap,rule,
booty bass,,unmapped,
hair metal,Metal,rule,
independent,,unmapped,
miami,,unmapped,
noel,,unmapped,
post rock,Rock,rule,
southern gospel,Christian / Gospel,rule,
spanish indie pop,Indie / Alternative,rule,
toronto,,unmapped,
cello rock,Rock,rule,
coldwave,,unmapped,
indie dance,Indie / Alternative,rule,
praise & worship,Christian / Gospel,rule,
south africa,World,rule,
contra dance,Electronic / Dance,rule,
female,,unmapped,
indonesian,SEA Pop,exact,
moombahton,,unmapped,
darkpsy,,unmapped,
florida,,unmapped,
outsider house,Electronic / Dance,rule,
alternative rnb,R&B / Soul,rule,
gospel jazz,Jazz,rule,
indian classical,Classical,rule,
religious,,unmapped,
stoner,,unmapped,
crossover prog,,unmapped,
eric lapointe,,unmapped,
filipino pop rock,Rock,rule,
morocco,,unmapped,
old school,,unmapped,
zeuhl,,unmapped,
ethiopia,,unmapped,
jazz-rock,Rock,rule,
london,,unmapped,
the flourishing zoo,,unmapped,
american classical pianist,Classical,rule,
children's,,unmapped,
hammered dulcimer,,unmapped,
phonk,Hip-Hop / Rap,rule,
senegal,,unmapped,
wu-fam,,unmapped,
death doom metal,Metal,rule,
doom,Metal,rule,
kickasstic,,unmapped,
discoverockult,Rock,rule,
honky tonk,Country,rule,
musica cristiana,,unmapped,
progressive electronic,Electronic / Dance,rule,
tribal ambient,Ambient / Instrumental,rule,
deutsche schlager,Pop,rule,
g-house,Electronic / Dance,rule,
meditation,Ambient / Instrumental,rule,
folk-rock,Rock,rule,
free improvisation,,unmapped,
jazzcore,Jazz,rule,
musicologist,,unmapped,
queer,,unmapped,
vallenato,,unmapped,
belgian,,unmapped,
rock urbano,Rock,rule,
saint lucia,,unmapped,
turkish rap,Hip-Hop / Rap,rule,
chanson francophone,,unmapped,
geek rock,Rock,rule,
modern classical,Classical,rule,
music producer,,unmapped,
vibraphone,,unmapped,
wartime,,unmapped,
wonky,,unmapped,
bubblegum bass,,unmapped,
ohio,,unmapped,
pluggnb,,unmapped,
ukraine,,unmapped,
dobro,,unmapped,
minimal wave,,unmapped,
satire,,unmapped,
shady grady,,unmapped,
soca,,unmapped,
ambient pop,Pop,rule,
egypt,,unmapped,
malaysia,,unmapped,
music box,,unmapped,
new metal,Metal,rule,
trip hop,Electronic / Dance,rule,
wurlitzer,,unmapped,
demoscene,,unmapped,
gregorian chant,,unmapped,
happy hardcore,Electronic / Dance,exact,
viking metal,Metal,rule,
western,,unmapped,
africa,World,rule,
east coast rap,Hip-Hop / Rap,rule,
glitch hop,Electronic / Dance,rule,
powerful,,unmapped,
ska-punk,Punk / Hardcore,rule,
blues-rock,Rock,rule,
cowhat aco,,unmapped,
finland,,unmapped,
goat,,unmapped,
pipe organ,,unmapped,
south african,World,rule,
industrial black metal,Metal,rule,
melodic pop,Pop,rule,
musical theater,Soundtrack / Musical,rule,
northern soul,R&B / Soul,rule,
oud,,unmapped,
rumba,,unmapped,
cantonese,,unmapped,
electroacoustic,Electronic / Dance,rule,
german jazz,Jazz,rule,
iran,,unmapped,
jazz piano,Jazz,rule,
jump blues,Blues,rule,
acid house,Electronic / Dance,rule,
kora,,unmapped,
strange music,,unmapped,
sxsw 2005,,unmapped,
under 100 listeners,,unmapped,
chamber pop,Pop,rule,
electro-industrial,Electronic / Dance,rule,
hauntology,,unmapped,
hungarian,,unmapped,
scam rap,Hip-Hop / Rap,rule,
trollerier,,unmapped,
yacht metal,Metal,rule,
pagan metal,Metal,rule,
punskar,,unmapped,
rap qc,Hip-Hop / Rap,rule,
brass band,,unmapped,
camobear records,,unmapped,
drummer,,unmapped,
live music archive,,unmapped,
nu-metal,Metal,rule,
pop art,Pop,rule,
pub rock,Rock,rule,
romantic period,,unmapped,
roots rock,Rock,rule,
scotland,,unmapped,
city pop,Pop,rule,
cybercore,,unmapped,
cybergrind,Metal,rule,
madagascar,,unmapped,
melodic hard rock,Rock,rule,
nintendocore,,unmapped,
podcast,,unmapped,
puro ranchero,,unmapped,
sxsw 2010,,unmapped,
bhangra,,unmapped,
cinematic classical,Classical,rule,
experimental metal,Metal,rule,
field recording,,unmapped,
jug band,,unmapped,
modern jazz,Jazz,rule,
nashville,,unmapped,
rap francais,Hip-Hop / Rap,rule,
skate punk,Punk / Hardcore,rule,
vancouver,,unmapped,
boogie woogie,,unmapped,
deana martin,,unmapped,
female vocal,,unmapped,
french rap,Hip-Hop / Rap,rule,
h band,,unmapped,
jazz vocal,Jazz,rule,
to listen for jan,,unmapped,
western swing,Jazz,rule,
youth crew,,unmapped,
belgium,,unmapped,
catman cohen,,unmapped,
chinese underground rap,Hip-Hop / Rap,rule,
dungeon synth,,unmapped,
east nashville,,unmapped,
ecuador,,unmapped,
euphonium,,unmapped,
europop,Pop,rule,
food bands,,unmapped,
improv,,unmapped,
kawaii metal,Metal,rule,
sufi,,unmapped,
athens,,unmapped,
chilena,,unmapped,
experimental hip hop,Hip-Hop / Rap,rule,
portugal,,unmapped,
rave,Electronic / Dance,rule,
afrikaans,,unmapped,
baltimore club,Electronic / Dance,rule,
henning staerk,,unmapped,
modern folk,Folk / Acoustic,rule,
avantgarde,,unmapped,
college rock,Rock,rule,
melodic punk,Punk / Hardcore,rule,
mondiovision,,unmapped,
riddim,,unmapped,
rock'n'roll,Rock,rule,
skinhead reggae,Reggae,rule,
the sirens that lure me,,unmapped,
antifolk,Folk / Acoustic,rule,
balkan hip hop,Hip-Hop / Rap,rule,
cowpunk,,unmapped,
fado,,unmapped,
indie electronic,Indie / Alternative,rule,
midtempo bass,,unmapped,
nu-disco,R&B / Soul,rule,
radio paradise,,unmapped,
sacramento,,unmapped,
space,,unmapped,
sxsw 2006,,unmapped,
emmanuel,,unmapped,
future funk,R&B / Soul,rule,
